idx,PRIMARY,SECONDARY,OTHER
"'22, wk40",51.282051282051285,20.512820512820515,28.205128205128204
"'22, wk41",36.95652173913044,30.434782608695652,32.608695652173914
"'22, wk42",45.65217391304348,26.08695652173913,28.26086956521739
"'22, wk43",25.0,35.416666666666664,39.583333333333336
"'22, wk44",42.857142857142854,28.571428571428573,28.571428571428573
"'22, wk45",33.333333333333336,28.571428571428573,38.095238095238095
"'22, wk46",31.25,31.25,37.5
"'22, wk47",38.46153846153846,30.76923076923077,30.76923076923077
"'22, wk48",44.0,44.0,12.0
"'22, wk49",44.44444444444444,29.62962962962963,25.925925925925927
"'22, wk50",36.8421052631579,44.73684210526316,18.42105263157895
"'22, wk51",54.34782608695652,21.73913043478261,23.91304347826087
"'22, wk52",48.93617021276596,25.53191489361702,25.53191489361702
