date,value
2020-12-31,737
2021-01-01,725
2021-01-02,730
2021-01-03,732
2021-01-04,750
2021-01-05,746
2021-01-06,733
2021-01-07,732
2021-01-08,730
2021-01-09,710
2021-01-10,706
2021-01-11,718
2021-01-12,725
2021-01-13,726
2021-01-14,709
2021-01-15,702
2021-01-16,684
2021-01-17,692
2021-01-18,702
2021-01-19,695
2021-01-20,687
2021-01-21,692
2021-01-22,684
2021-01-23,673
2021-01-24,671
2021-01-25,694
2021-01-26,685
2021-01-27,659
2021-01-28,661
2021-01-29,656
2021-01-30,642
2021-01-31,658
2021-02-01,661
2021-02-02,642
2021-02-03,628
2021-02-04,603
2021-02-05,572
2021-02-06,546
2021-02-07,532
2021-02-08,544
2021-02-09,541
2021-02-10,541
2021-02-11,539
2021-02-12,535
2021-02-13,529
2021-02-14,534
2021-02-15,547
2021-02-16,542
2021-02-17,542
2021-02-18,530
2021-02-19,533
2021-02-20,539
2021-02-21,554
2021-02-22,566
2021-02-23,553
2021-02-24,549
2021-02-25,560
2021-02-26,545
2021-02-27,526
2021-02-28,545
2021-03-01,576
2021-03-02,570
2021-03-03,559
2021-03-04,572
2021-03-05,566
2021-03-06,575
2021-03-07,576
2021-03-08,600
2021-03-09,591
2021-03-10,602
2021-03-11,603
2021-03-12,593
2021-03-13,579
2021-03-14,584
2021-03-15,599
2021-03-16,609
2021-03-17,591
2021-03-18,598
2021-03-19,610
2021-03-20,618
2021-03-21,636
2021-03-22,648
2021-03-23,643
2021-03-24,641
2021-03-25,658
2021-03-26,663
2021-03-27,667
2021-03-28,673
2021-03-29,694
2021-03-30,695
2021-03-31,709
2021-04-01,704
2021-04-02,737
2021-04-03,747
2021-04-04,761
2021-04-05,772
2021-04-06,787
2021-04-07,803
2021-04-08,808
2021-04-09,812
2021-04-10,802
2021-04-11,806
2021-04-12,809
2021-04-13,797
2021-04-14,804
2021-04-15,820
2021-04-16,813
2021-04-17,822
2021-04-18,821
2021-04-19,847
2021-04-20,835
2021-04-21,843
2021-04-22,844
2021-04-23,859
2021-04-24,842
2021-04-25,839
2021-04-26,842
2021-04-27,839
2021-04-28,836
2021-04-29,843
2021-04-30,839
2021-05-01,822
2021-05-02,854
2021-05-03,851
2021-05-04,851
2021-05-05,837
2021-05-06,821
2021-05-07,809
2021-05-08,790
2021-05-09,780
2021-05-10,763
2021-05-11,752
2021-05-12,741
2021-05-13,726
2021-05-14,725
2021-05-15,708
2021-05-16,687
2021-05-17,686
2021-05-18,661
2021-05-19,640
2021-05-20,627
2021-05-21,611
2021-05-22,608
2021-05-23,600
2021-05-24,600
2021-05-25,587
2021-05-26,561
2021-05-27,547
2021-05-28,527
2021-05-29,507
2021-05-30,493
2021-05-31,474
2021-06-01,449
2021-06-02,427
2021-06-03,398
2021-06-04,372
2021-06-05,357
2021-06-06,347
2021-06-07,343
2021-06-08,325
2021-06-09,313
2021-06-10,301
2021-06-11,285
2021-06-12,272
2021-06-13,267
2021-06-14,268
2021-06-15,254
2021-06-16,241
2021-06-17,230
2021-06-18,219
2021-06-19,208
2021-06-20,198
