idx,PRIMARY,SECONDARY,OTHER
"'23, wk36",44.0,24.0,32.0
"'23, wk37",51.89873417721519,17.72151898734177,30.379746835443036
"'23, wk38",41.41414141414141,30.303030303030305,28.282828282828284
"'23, wk39",42.42424242424242,19.19191919191919,38.38383838383838
"'23, wk40",44.44444444444444,30.065359477124183,25.49019607843137
"'23, wk41",46.55172413793103,26.724137931034484,26.724137931034484
"'23, wk42",33.529411764705884,33.529411764705884,32.94117647058823
"'23, wk43",37.5609756097561,35.609756097560975,26.829268292682926
"'23, wk44",35.426008968609864,31.390134529147982,33.18385650224215
"'23, wk45",37.5,30.0,32.5
"'23, wk46",39.80582524271845,36.89320388349515,23.300970873786408
"'23, wk47",46.8421052631579,32.10526315789474,21.05263157894737
"'23, wk48",53.164556962025316,25.31645569620253,21.518987341772153
