idx,PRIMARY,SECONDARY,OTHER
"'22, wk40",44.91228070175438,24.210526315789473,30.87719298245614
"'22, wk41",50.0,25.0,25.0
"'22, wk42",45.17304189435337,23.861566484517304,30.965391621129324
"'22, wk43",45.843230403800476,24.465558194774346,29.69121140142518
"'22, wk44",38.019169329073485,25.559105431309906,36.42172523961661
"'22, wk45",42.46031746031746,26.19047619047619,31.349206349206348
"'22, wk46",45.535714285714285,24.107142857142858,30.357142857142858
"'22, wk47",47.08171206225681,21.40077821011673,31.51750972762646
"'22, wk48",41.41414141414141,24.242424242424242,34.343434343434346
"'22, wk49",42.24924012158055,26.443768996960486,31.306990881458965
"'22, wk50",39.53488372093023,26.356589147286822,34.10852713178294
"'22, wk51",40.78947368421053,26.535087719298247,32.675438596491226
"'22, wk52",40.54054054054054,27.51842751842752,31.94103194103194
